symbol,preset,value,trades,wins,losses,win_rate,profit_pct
SOLUSDT,r5_arm20,0.65,34,2,23,0.3235,0.0999
SOLUSDT,r5_arm15_cooldown,0.65,37,2,23,0.3784,-0.0279
SOLUSDT,r6_arm15_rr4,0.65,16,0,11,0.3125,-2.0583
SOLUSDT,r6_arm15_maxp3_trail20,0.65,21,2,10,0.5238,0.0586
SOLUSDT,r6_arm15_full,0.65,16,0,14,0.125,-2.642
SOLUSDT,r7_arm20_maxp3_trail20,0.65,19,2,10,0.4737,0.1349
SOLUSDT,r7_trail15_maxp3,0.65,31,2,16,0.4839,1.4926
SOLUSDT,r7_trail20_maxp3,0.65,31,2,16,0.4839,1.0939
SOLUSDT,r7_full_clone_cooldown,0.65,16,0,14,0.125,-2.6926
SOLUSDT,r5_sl_adj_cooldown,0.65,22,0,16,0.2727,-5.2584
SOLUSDT,r5_trail10_rr3,0.65,22,0,17,0.2273,-3.1453
SOLUSDT,full_clone_max_tp,0.65,27,0,25,0.0741,-2.6352
SOLUSDT,full_clone_sl_adjust,0.65,49,0,43,0.1224,-3.6013
SOLUSDT,lh_sell_trail15,0.65,33,2,23,0.303,-2.0051
SOLUSDT,lh_sell_prox15_trail15,0.65,34,2,24,0.2941,-2.3243
SOLUSDT,hl_buy_trail15,0.65,42,2,28,0.3333,7.46
SOLUSDT,hl_buy_prox15_trail15,0.65,35,2,21,0.4,6.9591
SOLUSDT,pre_confirm_trail15,0.65,43,2,29,0.3256,6.0843
SOLUSDT,pre_confirm_prox15_trail15,0.65,36,2,22,0.3889,5.0282
SOLUSDT,r8_btc_minsl_strict,0.65,32,1,25,0.2188,-1.9394
SOLUSDT,r8_sol_hlbuy_cooldown,0.65,49,2,38,0.2245,5.0275
SOLUSDT,trail_15_from_30_act2_min1,0.65,77,3,71,0.0779,-5.6565
SOLUSDT,trail_15_from_30_act3_min1,0.65,71,3,67,0.0563,-3.0709
SOLUSDT,trail_15_from_30_act5_min15,0.65,71,3,68,0.0423,-6.8665
SOLUSDT,trail_20_from_30_act2_min1,0.65,26,4,20,0.2308,-1.5114
SOLUSDT,trail_20_from_30_act3_min1,0.65,25,4,20,0.2,1.1116
SOLUSDT,trail_20_from_30_act5_min15,0.65,25,4,21,0.16,-2.6795
SOLUSDT,trail_15_from_15_act2_min1,0.65,29,3,24,0.1724,-3.7781
SOLUSDT,trail_15_from_15_act3_min1,0.65,28,3,24,0.1429,-1.1541
SOLUSDT,trail_15_from_15_act5_min15,0.65,28,3,25,0.1071,-4.9477
SOLUSDT,trail_20_from_15_act2_min1,0.65,72,3,66,0.0833,-5.2904
SOLUSDT,trail_20_from_15_act3_min1,0.65,69,3,65,0.058,-3.3911
SOLUSDT,trail_20_from_15_act5_min15,0.65,69,3,66,0.0435,-7.1867
SOLUSDT,default,0.5,65,2,63,0.0308,-6.5607
